Genotype	CL	Fix	pop$	FID$
Z002E0200	143.640213576216	1	NAMRIL	Z002
Z002E0201	139.014468078459	1	NAMRIL	Z002
Z002E0202	155.881988128449	1	NAMRIL	Z002
Z002E0207	135.239509861133	1	NAMRIL	Z002
Z002E0217	119.739509861142	1	NAMRIL	Z002
Z002E0271	145.739509861145	1	NAMRIL	Z002
Z003E0001	156.395208292041	1	NAMRIL	Z003
Z003E0002	120.346133699073	1	NAMRIL	Z003
Z003E0003	133.26889490608	1	NAMRIL	Z003
Z003E0004	149.468114738692	1	NAMRIL	Z003
Z003E0005	126.074543310092	1	NAMRIL	Z003
Z003E0006	152.126306808335	1	NAMRIL	Z003
Z003E0007	131.659743000079	1	NAMRIL	Z003
Z003E0008	158.907084335479	1	NAMRIL	Z003
Z003E0009	148.132882218293	1	NAMRIL	Z003
Z003E0010	142.164704870526	1	NAMRIL	Z003
Z003E0011	145.969419413349	1	NAMRIL	Z003
Z003E0012	153.387990841929	1	NAMRIL	Z003
Z003E0013	146.967439349368	1	NAMRIL	Z003
Z003E0014	166.503705127598	1	NAMRIL	Z003
Z003E0015	147.739296203442	1	NAMRIL	Z003
Z003E0016	103.210059612999	1	NAMRIL	Z003
Z003E0017	152.307048884953	1	NAMRIL	Z003
Z003E0018	149.54176438732	1	NAMRIL	Z003
Z003E0019	129.695382218262	1	NAMRIL	Z003
Z003E0020	131.761764387318	1	NAMRIL	Z003
Z003E0021	123.850460164738	1	NAMRIL	Z003
Z003E0022	121.733389010168	1	NAMRIL	Z003
Z003E0023	135.362881423176	1	NAMRIL	Z003
Z003E0024	117.476904338728	1	NAMRIL	Z003
Z003E0025	138.844548884938	1	NAMRIL	Z003
Z003E0026	132.399412526997	1	NAMRIL	Z003
Z003E0027	105.689743000057	1	NAMRIL	Z003
Z003E0028	138.362771915101	1	NAMRIL	Z003
Z003E0029	152.743137287592	1	NAMRIL	Z003
Z003E0030	128.65296016474	1	NAMRIL	Z003
Z003E0031	127.464819496169	1	NAMRIL	Z003
Z003E0032	115.745881423173	1	NAMRIL	Z003
Z003E0033	122.13311473867	1	NAMRIL	Z003
Z003E0034	143.377959097777	1	NAMRIL	Z003
Z003E0035	134.752054878628	1	NAMRIL	Z003
Z003E0036	155.106215551611	1	NAMRIL	Z003
Z003E0037	126.176408538069	1	NAMRIL	Z003
Z003E0038	134.01896508543	1	NAMRIL	Z003
Z003E0039	141.833571005397	1	NAMRIL	Z003
Z003E0040	142.432881423169	1	NAMRIL	Z003
Z003E0041	148.899270104	1	NAMRIL	Z003
Z003E0042	120.508771915087	1	NAMRIL	Z003
Z003E0043	149.740799412118	1	NAMRIL	Z003
Z003E0044	156.235068605887	1	NAMRIL	Z003
Z003E0045	146.108907244464	1	NAMRIL	Z003
Z003E0046	141.872048884942	1	NAMRIL	Z003
Z003E0047	115.967460036522	1	NAMRIL	Z003
Z003E0048	123.686904338721	1	NAMRIL	Z003
Z003E0049	142.465697580377	1	NAMRIL	Z003
Z003E0050	170.380237672067	1	NAMRIL	Z003
Z003E0051	166.200561572779	1	NAMRIL	Z003
Z003E0052	117.898551284814	1	NAMRIL	Z003
Z003E0053	147.793054878634	1	NAMRIL	Z003
Z003E0054	143.220237672053	1	NAMRIL	Z003
Z003E0055	149.142270104017	1	NAMRIL	Z003
Z003E0056	147.085382218273	1	NAMRIL	Z003
Z003E0057	151.2310710054	1	NAMRIL	Z003
Z003E0058	119.663671203458	1	NAMRIL	Z003
Z003E0059	146.828820316521	1	NAMRIL	Z003
Z003E0060	157.137882218278	1	NAMRIL	Z003
Z003E0061	116.822990841932	1	NAMRIL	Z003
Z003E0062	156.219404338739	1	NAMRIL	Z003
Z003E0063	150.024460036526	1	NAMRIL	Z003
Z003E0064	162.657122823772	1	NAMRIL	Z003
Z003E0065	153.926054878621	1	NAMRIL	Z003
Z003E0066	135.638715551609	1	NAMRIL	Z003
Z003E0067	146.7671228238	1	NAMRIL	Z003
Z003E0068	116.448715551607	1	NAMRIL	Z003
Z003E0069	153.26271353689	1	NAMRIL	Z003
Z003E0070	126.583543730508	1	NAMRIL	Z003
Z003E0071	145.297421796337	1	NAMRIL	Z003
Z003E0072	135.501244811127	1	NAMRIL	Z003
Z003E0073	138.444543310119	1	NAMRIL	Z003
Z003E0074	125.997270104017	1	NAMRIL	Z003
Z003E0075	132.674569544631	1	NAMRIL	Z003
Z003E0076	135.905122319477	1	NAMRIL	Z003
Z003E0077	128.13232338086	1	NAMRIL	Z003
Z003E0078	141.97462153018	1	NAMRIL	Z003
Z003E0079	131.160473475018	1	NAMRIL	Z003
Z003E0080	156.4546401417	1	NAMRIL	Z003
Z003E0081	141.125237672061	1	NAMRIL	Z003
Z003E0082	149.605054878603	1	NAMRIL	Z003
Z003E0083	145.857580947539	1	NAMRIL	Z003
Z003E0084	112.818557202749	1	NAMRIL	Z003
Z003E0085	143.067048884934	1	NAMRIL	Z003
Z003E0086	117.416743872385	1	NAMRIL	Z003
Z003E0087	102.275054878633	1	NAMRIL	Z003
Z003E0088	119.694287077016	1	NAMRIL	Z003
Z003E0089	163.070041122123	1	NAMRIL	Z003
Z003E0090	136.071796203473	1	NAMRIL	Z003
Z003E0091	126.468025916427	1	NAMRIL	Z003
Z003E0092	128.257048884938	1	NAMRIL	Z003
Z003E0093	147.014543310129	1	NAMRIL	Z003
Z003E0094	155.680951933742	1	NAMRIL	Z003
Z003E0095	155.523551395207	1	NAMRIL	Z003
Z003E0096	127.563551395212	1	NAMRIL	Z003
Z003E0097	164.897829197567	1	NAMRIL	Z003
Z003E0098	149.527048884937	1	NAMRIL	Z003
Z003E0099	140.978705127642	1	NAMRIL	Z003
Z003E0100	111.252464042368	1	NAMRIL	Z003
Z003E0101	111.751046909547	1	NAMRIL	Z003
Z003E0102	115.627837109511	1	NAMRIL	Z003
Z003E0103	115.014548884936	1	NAMRIL	Z003
Z003E0104	144.381743000061	1	NAMRIL	Z003
Z003E0105	161.683551395214	1	NAMRIL	Z003
