Genotype	CW	Fix	pop$	FID$
Z002E0005	14.7017880662269	1	NAMRIL	Z002
Z002E0006	17.0285605584429	1	NAMRIL	Z002
Z002E0007	17.4209543726886	1	NAMRIL	Z002
Z002E0008	30.781788066234	1	NAMRIL	Z002
Z002E0009	14.7115549227326	1	NAMRIL	Z002
Z002E0010	22.0282166376564	1	NAMRIL	Z002
Z002E0011	17.373216637656	1	NAMRIL	Z002
Z002E0012	23.3510605584468	1	NAMRIL	Z002
Z002E0013	18.2595515230846	1	NAMRIL	Z002
Z002E0014	15.1640793726894	1	NAMRIL	Z002
Z002E0015	11.9274005463882	1	NAMRIL	Z002
Z002E0016	17.4139309233698	1	NAMRIL	Z002
Z002E0017	20.0311889255128	1	NAMRIL	Z002
Z002E0018	13.080071419583	1	NAMRIL	Z002
Z002E0019	26.0703293726896	1	NAMRIL	Z002
Z002E0020	21.7292524196184	1	NAMRIL	Z002
Z002E0021	19.9992302365257	1	NAMRIL	Z002
Z002E0022	19.1869475511317	1	NAMRIL	Z002
Z002E0023	19.2076754813014	1	NAMRIL	Z002
Z002E0024	17.6613673267801	1	NAMRIL	Z002
Z002E0025	21.641073780515	1	NAMRIL	Z002
Z002E0026	17.9794974097983	1	NAMRIL	Z002
Z002E0027	22.5159525186653	1	NAMRIL	Z002
Z002E0028	14.7395434035301	1	NAMRIL	Z002
Z002E0029	18.8073545526539	1	NAMRIL	Z002
Z002E0030	21.3189309233727	1	NAMRIL	Z002
Z002E0031	19.0128293726866	1	NAMRIL	Z002
Z002E0032	20.2774745607762	1	NAMRIL	Z002
Z002E0033	17.1790793726889	1	NAMRIL	Z002
Z002E0034	19.2588291178154	1	NAMRIL	Z002
Z002E0035	21.9334543726891	1	NAMRIL	Z002
Z002E0036	13.1123810900936	1	NAMRIL	Z002
Z002E0037	17.8625023519367	1	NAMRIL	Z002
Z002E0038	15.6652808844641	1	NAMRIL	Z002
Z002E0039	16.3131064387713	1	NAMRIL	Z002
Z002E0040	20.122829372692	1	NAMRIL	Z002
Z002E0041	18.2042302365294	1	NAMRIL	Z002
Z002E0042	13.8572043726889	1	NAMRIL	Z002
Z002E0043	20.0750594398585	1	NAMRIL	Z002
Z002E0044	15.8343571338695	1	NAMRIL	Z002
Z002E0045	17.2974745607722	1	NAMRIL	Z002
Z002E0046	14.00845437269	1	NAMRIL	Z002
Z002E0047	18.5488291178145	1	NAMRIL	Z002
Z002E0048	16.3989309233691	1	NAMRIL	Z002
Z002E0049	16.9642302365268	1	NAMRIL	Z002
Z002E0050	14.2427404476554	1	NAMRIL	Z002
Z002E0051	15.4666862606735	1	NAMRIL	Z002
Z002E0052	18.2784171159432	1	NAMRIL	Z002
Z002E0053	30.8925635698554	1	NAMRIL	Z002
Z002E0054	9.68344178529737	1	NAMRIL	Z002
Z002E0055	17.819393891777	1	NAMRIL	Z002
Z002E0056	12.4538291178171	1	NAMRIL	Z002
Z002E0057	20.2822006601135	1	NAMRIL	Z002
Z002E0058	14.1683517502062	1	NAMRIL	Z002
Z002E0059	14.6661142177966	1	NAMRIL	Z002
Z002E0060	8.69802821550375	1	NAMRIL	Z002
Z002E0061	17.1144475511328	1	NAMRIL	Z002
Z002E0062	18.4334543726873	1	NAMRIL	Z002
Z002E0063	17.3192302365276	1	NAMRIL	Z002
Z002E0064	18.7023545526552	1	NAMRIL	Z002
Z002E0065	19.358068838368	1	NAMRIL	Z002
