Genotype	AKW	Fix	pop$	FID$
Z002E0111	0.225828260834985	1	NAMRIL	Z002
Z002E0112	0.297875454396483	1	NAMRIL	Z002
Z002E0113	0.244360291528234	1	NAMRIL	Z002
Z002E0114	0.225250878291176	1	NAMRIL	Z002
Z002E0115	0.24982068369472	1	NAMRIL	Z002
Z002E0116	0.219766935031432	1	NAMRIL	Z002
Z002E0117	0.186178260834917	1	NAMRIL	Z002
Z002E0118	0.246679322920478	1	NAMRIL	Z002
Z002E0119	0.28228593203426	1	NAMRIL	Z002
Z002E0120	0.280178260835037	1	NAMRIL	Z002
Z002E0121	0.211474787651493	1	NAMRIL	Z002
Z002E0122	0.251667544957866	1	NAMRIL	Z002
Z002E0123	0.294682384945945	1	NAMRIL	Z002
Z002E0124	0.291334211624531	1	NAMRIL	Z002
Z002E0125	0.208296216223013	1	NAMRIL	Z002
Z002E0126	0.224051052280476	1	NAMRIL	Z002
Z002E0127	0.256759556719492	1	NAMRIL	Z002
Z002E0128	0.237010501937197	1	NAMRIL	Z002
Z002E0129	0.229153359080108	1	NAMRIL	Z002
Z002E0130	0.257288101990002	1	NAMRIL	Z002
Z002E0131	0.243724787651553	1	NAMRIL	Z002
Z002E0132	0.221724787651513	1	NAMRIL	Z002
Z002E0133	0.25466754495787	1	NAMRIL	Z002
Z002E0134	0.235224787651498	1	NAMRIL	Z002
Z002E0135	0.256296216222949	1	NAMRIL	Z002
Z002E0136	0.282726207475762	1	NAMRIL	Z002
Z002E0137	0.255428260834987	1	NAMRIL	Z002
Z002E0138	0.247153359080133	1	NAMRIL	Z002
Z002E0139	0.28030432292048	1	NAMRIL	Z002
Z002E0140	0.245301958064869	1	NAMRIL	Z002
Z002E0141	0.255084211624547	1	NAMRIL	Z002
Z002E0142	0.26970921162452	1	NAMRIL	Z002
Z002E0143	0.204334211624589	1	NAMRIL	Z002
Z002E0144	0.313832935046115	1	NAMRIL	Z002
Z002E0145	0.257243257998113	1	NAMRIL	Z002
Z002E0146	0.278828260834982	1	NAMRIL	Z002
Z002E0147	0.273796216222948	1	NAMRIL	Z002
Z002E0148	0.283042544957868	1	NAMRIL	Z002
Z002E0149	0.284010501937296	1	NAMRIL	Z002
Z002E0150	0.172714570579223	1	NAMRIL	Z002
Z002E0151	0.244138069303252	1	NAMRIL	Z002
Z002E0152	0.244103389723754	1	NAMRIL	Z002
Z002E0153	0.188621171671007	1	NAMRIL	Z002
Z002E0154	0.269474787651517	1	NAMRIL	Z002
Z002E0155	0.264278260834972	1	NAMRIL	Z002
Z002E0156	0.266113069923357	1	NAMRIL	Z002
Z002E0157	0.236701591331431	1	NAMRIL	Z002
Z002E0158	0.228010501937196	1	NAMRIL	Z002
Z002E0159	0.235559039389188	1	NAMRIL	Z002
Z002E0160	0.224618257998033	1	NAMRIL	Z002
Z002E0161	0.247247973195594	1	NAMRIL	Z002
Z002E0162	0.228559556719486	1	NAMRIL	Z002
Z002E0163	0.352689073365845	1	NAMRIL	Z002
Z002E0164	0.239792544957872	1	NAMRIL	Z002
Z002E0165	0.254351538741866	1	NAMRIL	Z002
Z002E0166	0.254101538741817	1	NAMRIL	Z002
Z002E0167	0.365528260834978	1	NAMRIL	Z002
Z002E0168	0.223278656066221	1	NAMRIL	Z002
Z002E0169	0.267042544957874	1	NAMRIL	Z002
Z002E0170	0.174445683694582	1	NAMRIL	Z002
Z002E0171	0.26208378772985	1	NAMRIL	Z002
Z002E0172	0.245159924664768	1	NAMRIL	Z002
Z002E0173	0.224062027319146	1	NAMRIL	Z002
Z002E0174	0.258018701071251	1	NAMRIL	Z002
Z002E0175	0.303813844558479	1	NAMRIL	Z002
Z002E0176	0.241117644794455	1	NAMRIL	Z002
Z002E0177	0.26405432292043	1	NAMRIL	Z002
Z002E0178	0.197117644794422	1	NAMRIL	Z002
Z002E0179	0.210932384945882	1	NAMRIL	Z002
Z002E0180	0.203331930508673	1	NAMRIL	Z002
Z002E0181	0.224584211624507	1	NAMRIL	Z002
Z002E0182	0.270051958064842	1	NAMRIL	Z002
Z002E0183	0.2671675449579	1	NAMRIL	Z002
Z002E0184	0.207724787651476	1	NAMRIL	Z002
Z002E0185	0.179560473195524	1	NAMRIL	Z002
Z002E0186	0.229667544957901	1	NAMRIL	Z002
Z002E0187	0.270993471422203	1	NAMRIL	Z002
Z002E0188	0.245078260834999	1	NAMRIL	Z002
Z002E0189	0.190654017028081	1	NAMRIL	Z002
Z002E0190	0.201278260834963	1	NAMRIL	Z002
Z002E0191	0.170939073365882	1	NAMRIL	Z002
Z002E0192	0.242445683694696	1	NAMRIL	Z002
Z002E0193	0.249788534058444	1	NAMRIL	Z002
Z002E0194	0.238010501937267	1	NAMRIL	Z002
Z002E0195	0.216360042797077	1	NAMRIL	Z002
Z002E0196	0.237667544957899	1	NAMRIL	Z002
Z002E0197	0.196681824883833	1	NAMRIL	Z002
Z002E0198	0.213081930508638	1	NAMRIL	Z002
Z002E0199	0.205917544957826	1	NAMRIL	Z002
Z002E0200	0.242331930508663	1	NAMRIL	Z002
Z002E0201	0.233353115572982	1	NAMRIL	Z002
Z002E0202	0.255528410615842	1	NAMRIL	Z002
Z002E0207	0.232247576037968	1	NAMRIL	Z002
Z002E0217	0.289747576038006	1	NAMRIL	Z002
Z002E0271	0.187247576037911	1	NAMRIL	Z002
Z003E0001	0.240012551889815	1	NAMRIL	Z003
Z003E0002	0.258784924664747	1	NAMRIL	Z003
Z003E0003	0.25626762924834	1	NAMRIL	Z003
Z003E0004	0.260917544957859	1	NAMRIL	Z003
Z003E0005	0.259250878291177	1	NAMRIL	Z003
Z003E0006	0.282282834626327	1	NAMRIL	Z003
Z003E0007	0.205071171670872	1	NAMRIL	Z003
Z003E0008	0.23303554694141	1	NAMRIL	Z003
Z003E0009	0.27315153874184	1	NAMRIL	Z003
Z003E0010	0.245218701071207	1	NAMRIL	Z003
Z003E0011	0.321155077081355	1	NAMRIL	Z003
Z003E0012	0.228576591331419	1	NAMRIL	Z003
Z003E0013	0.332579670214588	1	NAMRIL	Z003
Z003E0014	0.242409924664775	1	NAMRIL	Z003
Z003E0015	0.230945683694694	1	NAMRIL	Z003
Z003E0016	0.194051030068186	1	NAMRIL	Z003
Z003E0017	0.224651538741863	1	NAMRIL	Z003
Z003E0018	0.273867644794412	1	NAMRIL	Z003
Z003E0019	0.253151538741842	1	NAMRIL	Z003
Z003E0020	0.217367644794415	1	NAMRIL	Z003
Z003E0021	0.192160654581957	1	NAMRIL	Z003
Z003E0022	0.278405046040861	1	NAMRIL	Z003
Z003E0023	0.236592394390103	1	NAMRIL	Z003
Z003E0024	0.240092394390142	1	NAMRIL	Z003
Z003E0025	0.272151538741839	1	NAMRIL	Z003
Z003E0026	0.269232172641806	1	NAMRIL	Z003
Z003E0027	0.288571171670898	1	NAMRIL	Z003
Z003E0028	0.280473432034277	1	NAMRIL	Z003
Z003E0029	0.20963067954356	1	NAMRIL	Z003
Z003E0030	0.184030587891936	1	NAMRIL	Z003
