Genotype	KRN	Fix	pop$	FID$
Z002E0045	14.7229425421572	1	NAMRIL	Z002
Z002E0046	16.8838376893779	1	NAMRIL	Z002
Z002E0047	13.0736247129024	1	NAMRIL	Z002
Z002E0048	17.5502205829978	1	NAMRIL	Z002
Z002E0049	14.7645062972826	1	NAMRIL	Z002
Z002E0050	18.4787920115691	1	NAMRIL	Z002
Z002E0051	15.7164818557585	1	NAMRIL	Z002
Z002E0052	14.8726366571351	1	NAMRIL	Z002
Z002E0053	17.9138099025975	1	NAMRIL	Z002
Z002E0054	13.4769990439264	1	NAMRIL	Z002
Z002E0055	15.3359348687134	1	NAMRIL	Z002
Z002E0056	16.0736247129004	1	NAMRIL	Z002
Z002E0057	17.3616735392555	1	NAMRIL	Z002
Z002E0058	13.2925475655186	1	NAMRIL	Z002
Z002E0059	19.6327025927093	1	NAMRIL	Z002
Z002E0060	11.7447226469285	1	NAMRIL	Z002
Z002E0061	16.3827025927101	1	NAMRIL	Z002
Z002E0062	12.8838376893819	1	NAMRIL	Z002
Z002E0063	16.9073634401421	1	NAMRIL	Z002
Z002E0064	16.283027559035	1	NAMRIL	Z002
Z002E0065	16.7739032554676	1	NAMRIL	Z002
Z002E0066	16.4660359260406	1	NAMRIL	Z002
Z002E0067	13.8653334960046	1	NAMRIL	Z002
Z002E0068	12.9073634401412	1	NAMRIL	Z002
Z002E0069	15.255391119527	1	NAMRIL	Z002
Z002E0070	14.9285673658968	1	NAMRIL	Z002
Z002E0071	14.1436657105919	1	NAMRIL	Z002
Z002E0072	13.3359348687126	1	NAMRIL	Z002
Z002E0073	12.1338376893812	1	NAMRIL	Z002
Z002E0074	14.2164818557602	1	NAMRIL	Z002
Z002E0075	13.4138099026041	1	NAMRIL	Z002
Z002E0076	17.3838376893797	1	NAMRIL	Z002
Z002E0077	12.4167603983272	1	NAMRIL	Z002
Z002E0078	15.478917696564	1	NAMRIL	Z002
Z002E0079	16.1216491544259	1	NAMRIL	Z002
Z002E0080	16.7645062972802	1	NAMRIL	Z002
Z002E0081	17.1930777258531	1	NAMRIL	Z002
Z002E0082	13.9787920115708	1	NAMRIL	Z002
Z002E0083	12.0502205829983	1	NAMRIL	Z002
Z002E0084	15.7160359260429	1	NAMRIL	Z002
Z002E0085	12.6216491544261	1	NAMRIL	Z002
Z002E0086	16.4787920115666	1	NAMRIL	Z002
Z002E0087	11.90736344014	1	NAMRIL	Z002
Z002E0088	15.6338376893823	1	NAMRIL	Z002
Z002E0089	16.2164818557594	1	NAMRIL	Z002
Z002E0090	14.9073634401439	1	NAMRIL	Z002
Z002E0091	13.2588376893808	1	NAMRIL	Z002
Z002E0092	14.131046112613	1	NAMRIL	Z002
Z002E0093	14.0736247128997	1	NAMRIL	Z002
