Genotype	KC	Fix	pop$	FID$
Z002E0063	397.939615549694	1	NAMRIL	Z002
Z002E0064	425.618348716439	1	NAMRIL	Z002
Z002E0065	352.222868446828	1	NAMRIL	Z002
Z002E0066	316.482139892364	1	NAMRIL	Z002
Z002E0067	177.716655788292	1	NAMRIL	Z002
Z002E0068	203.731997739361	1	NAMRIL	Z002
Z002E0069	360.562892658168	1	NAMRIL	Z002
Z002E0070	250.16271880844	1	NAMRIL	Z002
Z002E0071	255.923585360738	1	NAMRIL	Z002
Z002E0072	242.089458213869	1	NAMRIL	Z002
Z002E0073	303.64978742334	1	NAMRIL	Z002
Z002E0074	373.240428557749	1	NAMRIL	Z002
Z002E0075	276.031349978247	1	NAMRIL	Z002
Z002E0076	472.038450943885	1	NAMRIL	Z002
Z002E0077	209.275979194827	1	NAMRIL	Z002
Z002E0078	266.683319206036	1	NAMRIL	Z002
Z002E0079	336.980256255443	1	NAMRIL	Z002
Z002E0080	320.069653883935	1	NAMRIL	Z002
Z002E0081	430.840871109182	1	NAMRIL	Z002
Z002E0082	314.478395059881	1	NAMRIL	Z002
Z002E0083	293.317685943408	1	NAMRIL	Z002
Z002E0084	187.193167485128	1	NAMRIL	Z002
Z002E0085	399.335762952053	1	NAMRIL	Z002
Z002E0086	349.458368779877	1	NAMRIL	Z002
Z002E0087	307.617378831169	1	NAMRIL	Z002
Z002E0088	356.660430776513	1	NAMRIL	Z002
Z002E0089	379.912611929882	1	NAMRIL	Z002
Z002E0090	228.59186556192	1	NAMRIL	Z002
Z002E0091	318.101906794881	1	NAMRIL	Z002
Z002E0092	309.474155686801	1	NAMRIL	Z002
Z002E0093	249.694910479093	1	NAMRIL	Z002
Z002E0094	312.292462194602	1	NAMRIL	Z002
Z002E0095	208.961968411368	1	NAMRIL	Z002
Z002E0096	301.673809297369	1	NAMRIL	Z002
Z002E0097	277.048805302406	1	NAMRIL	Z002
Z002E0098	252.701577779554	1	NAMRIL	Z002
Z002E0099	403.191734988542	1	NAMRIL	Z002
Z002E0100	275.627364804358	1	NAMRIL	Z002
Z002E0101	238.340862048343	1	NAMRIL	Z002
Z002E0102	301.078950648132	1	NAMRIL	Z002
Z002E0103	188.566049552649	1	NAMRIL	Z002
Z002E0104	376.388865682081	1	NAMRIL	Z002
Z002E0105	288.195461834212	1	NAMRIL	Z002
Z002E0106	337.709243622299	1	NAMRIL	Z002
Z002E0107	350.065815772471	1	NAMRIL	Z002
Z002E0108	395.576765140137	1	NAMRIL	Z002
Z002E0109	274.979169174322	1	NAMRIL	Z002
Z002E0110	360.239391608383	1	NAMRIL	Z002
Z002E0111	274.702716443638	1	NAMRIL	Z002
Z002E0112	180.285500434046	1	NAMRIL	Z002
Z002E0113	211.532194826499	1	NAMRIL	Z002
Z002E0114	400.622160247891	1	NAMRIL	Z002
Z002E0115	415.604559478128	1	NAMRIL	Z002
Z002E0116	243.125221861335	1	NAMRIL	Z002
Z002E0117	384.589495213453	1	NAMRIL	Z002
Z002E0118	442.638376704205	1	NAMRIL	Z002
Z002E0119	282.869580607036	1	NAMRIL	Z002
Z002E0120	240.091338651071	1	NAMRIL	Z002
Z002E0121	372.38821225588	1	NAMRIL	Z002
Z002E0122	245.267514710533	1	NAMRIL	Z002
Z002E0123	210.78564689002	1	NAMRIL	Z002
Z002E0124	250.693638317598	1	NAMRIL	Z002
Z002E0125	354.322204558288	1	NAMRIL	Z002
Z002E0126	321.105709753332	1	NAMRIL	Z002
Z002E0127	337.439282103279	1	NAMRIL	Z002
Z002E0128	312.264453172948	1	NAMRIL	Z002
Z002E0129	286.811731712096	1	NAMRIL	Z002
Z002E0130	306.345718100265	1	NAMRIL	Z002
Z002E0131	354.212096533987	1	NAMRIL	Z002
Z002E0132	377.398242276666	1	NAMRIL	Z002
Z002E0133	320.021508135044	1	NAMRIL	Z002
Z002E0134	220.026593750222	1	NAMRIL	Z002
Z002E0135	285.693838491704	1	NAMRIL	Z002
Z002E0136	246.568142661507	1	NAMRIL	Z002
Z002E0137	302.902748880012	1	NAMRIL	Z002
Z002E0138	301.128175073723	1	NAMRIL	Z002
Z002E0139	283.719355961753	1	NAMRIL	Z002
Z002E0140	259.930232023833	1	NAMRIL	Z002
Z002E0141	370.74158334428	1	NAMRIL	Z002
Z002E0142	468.88328935871	1	NAMRIL	Z002
Z002E0143	439.869507078535	1	NAMRIL	Z002
Z002E0144	111.220212848606	1	NAMRIL	Z002
Z002E0145	257.573942452685	1	NAMRIL	Z002
Z002E0146	328.310266592438	1	NAMRIL	Z002
Z002E0147	412.598000464107	1	NAMRIL	Z002
Z002E0148	188.292723832315	1	NAMRIL	Z002
Z002E0149	324.40792125269	1	NAMRIL	Z002
Z002E0150	350.664924337906	1	NAMRIL	Z002
Z002E0151	255.353873925872	1	NAMRIL	Z002
Z002E0152	228.8638224324	1	NAMRIL	Z002
