Genotype	TKW	Fix	pop$	FID$
Z002E0026	64.6460704957749	1	NAMRIL	Z002
Z002E0027	94.2546260909999	1	NAMRIL	Z002
Z002E0028	78.7463471897867	1	NAMRIL	Z002
Z002E0029	89.962499067212	1	NAMRIL	Z002
Z002E0030	92.7095386403143	1	NAMRIL	Z002
Z002E0031	70.8204741964996	1	NAMRIL	Z002
Z002E0032	40.9388374994286	1	NAMRIL	Z002
Z002E0033	56.3017241965014	1	NAMRIL	Z002
Z002E0034	58.9227757612141	1	NAMRIL	Z002
Z002E0035	84.2129741964869	1	NAMRIL	Z002
Z002E0036	55.3222338953007	1	NAMRIL	Z002
Z002E0037	69.3131100688383	1	NAMRIL	Z002
Z002E0038	62.2112345397459	1	NAMRIL	Z002
Z002E0039	60.7132214274	1	NAMRIL	Z002
Z002E0040	77.9967241964935	1	NAMRIL	Z002
Z002E0041	59.7437985361274	1	NAMRIL	Z002
Z002E0042	72.6679652028058	1	NAMRIL	Z002
Z002E0043	44.2717318253599	1	NAMRIL	Z002
Z002E0044	79.9435449009787	1	NAMRIL	Z002
Z002E0045	91.1468374993891	1	NAMRIL	Z002
Z002E0046	75.3192241964904	1	NAMRIL	Z002
Z002E0047	48.5292043326427	1	NAMRIL	Z002
Z002E0048	66.0766814974173	1	NAMRIL	Z002
Z002E0049	61.0821318694748	1	NAMRIL	Z002
Z002E0050	70.3660207578102	1	NAMRIL	Z002
Z002E0051	49.7527757612158	1	NAMRIL	Z002
Z002E0052	94.382656733176	1	NAMRIL	Z002
Z002E0053	105.323798536139	1	NAMRIL	Z002
Z002E0054	55.7863550378295	1	NAMRIL	Z002
Z002E0055	76.1767450634058	1	NAMRIL	Z002
Z002E0056	62.2677757612105	1	NAMRIL	Z002
Z002E0057	75.5455917900961	1	NAMRIL	Z002
Z002E0058	50.0757143403991	1	NAMRIL	Z002
Z002E0059	73.7629012064116	1	NAMRIL	Z002
Z002E0060	33.2144476872978	1	NAMRIL	Z002
Z002E0061	79.9345678730833	1	NAMRIL	Z002
Z002E0062	67.490474196494	1	NAMRIL	Z002
Z002E0063	75.4087985361258	1	NAMRIL	Z002
Z002E0064	87.9410704957827	1	NAMRIL	Z002
