p2,p1,Genotype,value,trait,pop,FID,p1t,p2t,HPH,pHPH,MPH,pMPH
Z006,Z005,Z005xZ006,128.885555555555,TKW,Diallel,Z000,13.9825122788476,32.629713343418,96.255842212137,2.94994446316684,114.903043276707,8.21762505801836
Z006,Z003,Z003xZ006,141.707777777782,TKW,Diallel,Z000,27.3968115781737,32.629713343418,109.078064434364,3.34290599755965,114.310966199608,4.17241859964014
Z007,Z005,Z005xZ007,119.332222222227,TKW,Diallel,Z000,13.9825122788476,17.5391459962843,101.793076225943,5.80376468999732,105.349709943379,7.53439066188054
Z007,Z006,Z006xZ007,133.28388888889,TKW,Diallel,Z000,32.629713343418,17.5391459962843,100.654175545472,3.08473980405886,100.654175545472,3.08473980405886
Z007,Z003,Z003xZ007,111.504444444443,TKW,Diallel,Z000,27.3968115781737,17.5391459962843,84.1076328662693,3.06997887788065,84.1076328662693,3.06997887788065
Z007,Z002,Z002xZ007,145.54055555556,TKW,Diallel,Z000,41.51133438328,17.5391459962843,104.02922117228,2.50604377618324,104.02922117228,2.50604377618324
Z008,Z005,Z005xZ008,46.8599999999977,TKW,Diallel,Z000,13.9825122788476,17.2159449471195,29.6440550528782,1.72189532110685,32.8774877211501,2.35132907917316
Z008,Z006,Z006xZ008,93.7300000000018,TKW,Diallel,Z000,32.629713343418,17.2159449471195,61.1002866565838,1.87253519555999,61.1002866565838,1.87253519555999
Z008,Z007,Z007xZ008,83.332222222224,TKW,Diallel,Z000,17.5391459962843,17.2159449471195,65.7930762259397,3.751213214137,65.7930762259397,3.751213214137
Z008,Z003,Z003xZ008,51.9844444444446,TKW,Diallel,Z000,27.3968115781737,17.2159449471195,24.5876328662709,0.897463297731302,24.5876328662709,0.897463297731302
Z009,Z008,Z008xZ009,30.7238158284,TKW,Diallel,Z000,17.2159449471195,18.0771707685547,12.6466450598453,0.69959205573497,13.5078708812805,0.784613968200484
Z009,Z003,Z003xZ009,108.994395556211,TKW,Diallel,Z000,27.3968115781737,18.0771707685547,81.5975839780373,2.97836059299119,81.5975839780373,2.97836059299119
Z009,Z006,Z006xZ009,104.687163421109,TKW,Diallel,Z000,32.629713343418,18.0771707685547,72.057450077691,2.20833843433768,72.057450077691,2.20833843433768
Z009,Z005,Z005xZ009,118.125555555557,TKW,Diallel,Z000,13.9825122788476,18.0771707685547,100.048384787002,5.53451566442227,104.143043276709,7.44809238853696
Z010,Z006,Z006xZ010,141.984444444447,TKW,Diallel,Z000,32.629713343418,11.457793907388,109.354731101029,3.3513849769412,109.354731101029,3.3513849769412
Z010,Z002,Z002xZ010,146.34,TKW,Diallel,Z000,41.51133438328,11.457793907388,104.82866561672,2.52530223790982,104.82866561672,2.52530223790982
Z010,Z001,Z001xZ010,86.1066666666649,TKW,Diallel,Z000,59.6185484487999,11.457793907388,26.488118217865,0.444293242741609,26.488118217865,0.444293242741609
Z010,Z007,Z007xZ010,100.371111111112,TKW,Diallel,Z000,17.5391459962843,11.457793907388,82.8319651148277,4.72269089568989,82.8319651148277,4.72269089568989
Z010,Z003,Z003xZ010,133.974444444447,TKW,Diallel,Z000,27.3968115781737,11.457793907388,106.577632866273,3.89014731010454,106.577632866273,3.89014731010454
Z011,Z003,Z003xZ011,167.201515555722,TKW,Diallel,Z000,27.3968115781737,30.8921176570358,136.309397898686,4.41243295173198,139.804703977548,5.10295526830308
Z011,Z002,Z002xZ011,125.402789863915,TKW,Diallel,Z000,41.51133438328,30.8921176570358,83.891455480635,2.0209289035629,83.891455480635,2.0209289035629
Z011,Z007,Z007xZ011,148.053333333335,TKW,Diallel,Z000,17.5391459962843,30.8921176570358,117.161215676299,3.79259256283505,130.514187337051,7.44130799553754
Z011,Z001,Z001xZ011,185.377777777781,TKW,Diallel,Z000,59.6185484487999,30.8921176570358,125.759229328981,2.10939770593346,125.759229328981,2.10939770593346
Z012,Z002,Z002xZ012,197.835000000002,TKW,Diallel,Z000,41.51133438328,28.8217097664763,156.323665616722,3.76580680768687,156.323665616722,3.76580680768687
Z012,Z009,Z009xZ012,90.9665155557237,TKW,Diallel,Z000,18.0771707685547,28.8217097664763,62.1448057892474,2.15618040334063,72.889344787169,4.03212127165166
Z012,Z007,Z007xZ012,106.515555555557,TKW,Diallel,Z000,17.5391459962843,28.8217097664763,77.6938457890807,2.69567095146623,88.9764095592727,5.0730183543784
Z012,Z005,Z005xZ012,100.639536732101,TKW,Diallel,Z000,13.9825122788476,28.8217097664763,71.8178269656247,2.4917962031926,86.6570244532534,6.19752893650921
Z012,Z001,Z001xZ012,236.367749841644,TKW,Diallel,Z000,59.6185484487999,28.8217097664763,176.749201392844,2.96466797652136,176.749201392844,2.96466797652136
Z012,Z003,Z003xZ012,187.646515555722,TKW,Diallel,Z000,27.3968115781737,28.8217097664763,158.824805789246,5.51059625109338,160.249703977548,5.84920999001267
