Genotype,KC,TKW,AKW,Note,RIL
B73 x Z015E0041,481.847017,144.305223,0.301647514,Bx,Z015E0041
B73 x Z015E0042,253.6940341,90.36044607,0.349214936,Bx,Z015E0042
B73 x Z015E0059,486.5,158.84,0.32633516,Bx,Z015E0059
B73 x Z015E0063,555.2611932,174.6279108,0.315413515,Bx,Z015E0063
B73 x Z015E0071,514.6940341,191.5304461,0.3693431,Bx,Z015E0071
B73 x Z015E0074,536.1666667,188.2133333,0.355685107,Bx,Z015E0074
B73 x Z015E0080,482.1388068,138.3440892,0.290644438,Bx,Z015E0080
B73 x Z015E0084,493.5,154.225,0.322033292,Bx,Z015E0084
B73 x Z015E0102,512.9388068,149.0440892,0.299772146,Bx,Z015E0102
B73 x Z015E0105,585.6666667,188.1033333,0.322007138,Bx,Z015E0105
B73 x Z015E0118,540.1388068,155.5540892,0.288083313,Bx,Z015E0118
B73 x Z015E0123,524.8980114,153.6168154,0.293920464,Bx,Z015E0123
B73 x Z015E0127,555,185.0916667,0.335036316,Bx,Z015E0127
B73 x Z015E0135,590.0273674,184.0171127,0.312127911,Bx,Z015E0135
B73 x Z015E0142,478.597017,162.042723,0.338091997,Bx,Z015E0142
B73 x Z015E0148,475.097017,147.787723,0.311086651,Bx,Z015E0148
B73 x Z015E0155,518.1666667,185.97,0.359696355,Bx,Z015E0155
B73 x Z015E0158,451.6666667,140.84,0.314655619,Bx,Z015E0158
B73 x Z015E0160,504,171.5683333,0.340709012,Bx,Z015E0160
B73 x Z015E0163,395.3333333,128.805,0.335922756,Bx,Z015E0163
B73 x Z015E0164,487.8333333,165.59,0.33683134,Bx,Z015E0164
B73 x Z015E0170,560.8611932,163.9359108,0.296949567,Bx,Z015E0170
B73 x Z015E0199,486.5388068,140.2440892,0.277917536,Bx,Z015E0199
B73 x Z015E0230,470.5,146.4875,0.319002007,Bx,Z015E0230
B73 x Z015E0236,386.5,115.5983333,0.302204738,Bx,Z015E0236
B73 x Z016E0002,667.5,193.5416667,0.291397218,Bx,Z016E0002
B73 x Z016E0019,579,162.9766667,0.282792183,Bx,Z016E0019
B73 x Z016E0021,499.3388068,166.7380892,0.345162131,Bx,Z016E0021
B73 x Z016E0027,493.3333333,148.1616667,0.298946425,Bx,Z016E0027
B73 x Z016E0028,483,143.215,0.299733996,Bx,Z016E0028
