I,Row,Pedigree,Genotype,FBNote,Farm
JLY,1613,Ac4294,MDF-13D,Off-PVP,Curtiss
JLY,1614,Ac4295,LH74,Off-PVP,Curtiss
JLY,1615,Ac4296,FAPW,Off-PVP,Curtiss
JLY,1616,Ac4297,LH145,Off-PVP,Curtiss
JLY,1617,Ac4298,PHG39,Off-PVP,Curtiss
JLY,1618,Ac4299,LH143 CMS,Off-PVP,Curtiss
JLY,1619,Ac4300,LH132,Off-PVP,Curtiss
JLY,1620,Ac4301,207,Off-PVP,Curtiss
JLY,1621,Ac4302,PHG50,Off-PVP,Curtiss
JLY,1622,Ac4303,BO9,Off-PVP,Curtiss
JLY,1623,Ac4304,PHG35,Off-PVP,Curtiss
JLY,1624,Ac4305,B47,Off-PVP,Curtiss
JLY,1625,Ac4306,F42,Off-PVP,Curtiss
JLY,1626,Ac4307,G80,Off-PVP,Curtiss
JLY,1627,Ac4308,LH123HT,Off-PVP,Curtiss
JLY,1628,Ac4309,CR1HT,Off-PVP,Curtiss
JLY,1629,Ac4310,PHG71,Off-PVP,Curtiss
JLY,1630,Ac4311,6103,Off-PVP,Curtiss
JLY,1631,Ac4312,LH82,Off-PVP,Curtiss
JLY,1632,Ac4314,LH93,Off-PVP,Curtiss
JLY,1633,Ac4315,HBA1,Off-PVP,Curtiss
JLY,1634,Ac4316,Q381,Off-PVP,Curtiss
JLY,1635,Ac4317,DJ7,Off-PVP,Curtiss
JLY,1636,Ac4318,IB014,Off-PVP,Curtiss
JLY,1637,Ac4319,MBNA,Off-PVP,Curtiss
JLY,1638,Ac4320,78004,Off-PVP,Curtiss
JLY,1639,Ac4321,78010,Off-PVP,Curtiss
JLY,1640,Ac4322,PHG83,Off-PVP,Curtiss
JLY,1641,Ac4323,LH150,Off-PVP,Curtiss
JLY,1642,Ac4324,5707,Off-PVP,Curtiss
JLY,1643,Ac4325,PHG29,Off-PVP,Curtiss
JLY,1644,Ac4326,SX-4-16-2 (Tetraploid),Off-PVP,Curtiss
JLY,1645,Ac4327,SX-4-2 (Tetraploid),Off-PVP,Curtiss
JLY,1646,Ac4328,SX-4-32-1 (Tetraploid),Off-PVP,Curtiss
JLY,1647,Ac4329,SX-4-33-4-2 (Tetraploid),Off-PVP,Curtiss
JLY,1648,Ac4330,SX-5-11 (Tetraploid),Off-PVP,Curtiss
JLY,1649,Ac4331,SX-5-13-3 (Tetraploid),Off-PVP,Curtiss
JLY,1650,Ac4332,4676A,Off-PVP,Curtiss
JLY,1651,Ac4333,78002A,Off-PVP,Curtiss
JLY,1652,Ac4334,LH54,Off-PVP,Curtiss
JLY,1653,Ac4335,LH57,Off-PVP,Curtiss
JLY,1654,Ac4336,PHG47,Off-PVP,Curtiss
JLY,1655,Ac4337,PHG72,Off-PVP,Curtiss
JLY,1656,Ac4338,PHG84,Off-PVP,Curtiss
JLY,1657,Ac4339,PHJ40,Off-PVP,Curtiss
JLY,1658,Ac4340,PHZ51,Off-PVP,Curtiss
JLY,1659,Ac4341,SX-4-21 (Tetraploid),Off-PVP,Curtiss
JLY,1660,Ac4342,SX-4-4 (Tetraploid),Off-PVP,Curtiss
JLY,1661,Ac4343,SX-4-5 (Tetraploid,Off-PVP,Curtiss
JLY,1662,Ac4344,SX-5-14-1-2 (Tetraploid),Off-PVP,Curtiss
JLY,1663,Ac4345,SX-5-6 (Tetraploid),Off-PVP,Curtiss
JLY,1664,Ac4346,SX-5-9-1-2 (Tetraploid),Off-PVP,Curtiss
JLY,1665,Ac4347,SX-6-10 (Tetraploid),Off-PVP,Curtiss
JLY,1666,Ac4348,SX-6-15-2-1 (Tetraploid),Off-PVP,Curtiss
JLY,1667,Ac4349,SX-6-3 (Tetraploid),Off-PVP,Curtiss
JLY,1668,Ac4350,SX-6-7 (Tetraploid),Off-PVP,Curtiss
JLY,1669,Ac4351,LH52,Off-PVP,Curtiss
JLY,1670,Ac4352,PHR36,Off-PVP,Curtiss
JLY,1671,Ac4353,PHW17,Off-PVP,Curtiss
JLY,1672,Ac4354,764,Off-PVP,Curtiss
JLY,1673,Ac4355,778,Off-PVP,Curtiss
