Phenotype Name,Evaluation Locality,Planting Date,Rep,Accession,Source,Plant Name,Plant ID,Phenotype Value
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,CML91,CIMMYT,CML91 Row,1256,mean=11.6
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,D940Y,NATAL,D940Y Row,1288,mean=12.4
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,EP1,GAL,EP1 Row,1308,mean=12.0
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,F2834T,NATAL,F2834T Row,1327,mean=12.0
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,F44,FLA,F44 Row,1333,mean=13.75
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,GT112,ARS-TIF,GT112 Row,1367,mean=12.0
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,Hp301,PURD-BOT,HP301 Row,1410,mean=12.67
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,I29,PURD-BOT,I29 Row,1443,mean=16.0
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,IDS28,ISU,IDS28 Row,1466,mean=15.2
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,Il14H,UIUC-NR,Il14H Row,1499,mean=11.0
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,K55,ARS-MO,K55 Row,1525,mean=12.0
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,Ki11,HWI,Ki11 Row,1531,mean=12.0
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,Ki3,HWI,Ki3 Row,1573,mean=13.5
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,M162W,NATAL,M162W Row,1618,mean=14.0
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,Mo17,ARS-MO,Mo17 Row,1648,mean=9.0
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,MS153,MICH,MS153 Row,1671,mean=15.0
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,N192,NEBR,N192 Row,1695,mean=13.17
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,NC298,NCSU,NC298 Row,1774,mean=10.5
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,NC300,NCSU,NC300 Row,1787,mean=13.0
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,NC348,NCSU,NC348 Row,1851,mean=10.25
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,NC352,NCSU,NC352 Row,1875,mean=11.33
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,ND246,ND,ND246 Row,1903,mean=10.0
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,Oh43,OHW,Oh43 Row,1908,mean=14.5
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,P39,PURD-AG,P39 Row,1948,mean=15.0
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,SA24,PURD-BOT,SA24 Row,1963,mean=13.0
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,SC213R,SC,SC213R Row,1992,mean=12.5
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,Tx601,TEX,Tx601 Row,2062,mean=16.0
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,Tzi10,IITA,Tzi10 Row,2073,mean=12.0
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,Tzi18,IITA,Tzi18 Row,2078,mean=14.0
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,Va26,VATECH,Va26 Row,2111,mean=14.0
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,W117Ht,WISC,W117Ht Row,2130,mean=14.0
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,W182B,WISC,W182B Row,2144,mean=12.0
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,33-16,PURD-AG,02F1086,3476,mean=8
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,38-11,PURD-AG,02F1161,3470,mean=14.8
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,4722,PURD-BOT,02F1398,3500,mean=12
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,A214N,NATAL,02F1632,3473,mean=12
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,A239,MINN,02F1236,3474,mean=13
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,A441-5,NATAL,02F1028,3477,mean=9
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,A6,PHI,02F1467,3480,mean=14.5
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,A619,MINN,02F1322,3481,mean=12.2
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,A632,MINN,02F1242,3482,mean=14.6
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,A634,MINN,02F1169,3483,mean=12.8333333333333
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,A635,MINN,02F1535,3484,mean=13
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,A659,MINN,02F1095,3487,mean=11.6666666666667
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,A679,MINN,02F1244,3467,mean=18.4
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,A680,MINN,02F1627,3468,mean=15.2
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,A682,MINN,02F1032,3469,mean=10.5
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,Ab28A,Alabama,02F1023,3693,mean=16
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B10,ISU,02F1482,3694,mean=10.75
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B104,ISU,02F1693,3465,mean=12.5
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B105,ISU,02F1327,3466,mean=14.8
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B109,ISU,02F1611,3455,mean=12.4
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B115,ISU,02F1234,3695,mean=12.75
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B14A,ISU,02F1102,3456,mean=13.5
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B164,MINN,02F1101,3457,mean=14
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B37,ISU,02F1170,3458,mean=15.6666666666667
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B46,ISU,02F1556,3697,mean=14.4
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B52,ISU,02F1487,3460,mean=18
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B57,ISU,02F1008,3461,mean=11.5
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B64,ISU,02F1015,3462,mean=13.2
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B68,ISU,02F1332,3463,mean=15.4
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73,ISU,02F1211,3445,mean=16
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73Htrhm,IFS,02F1468,3450,mean=16.4
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73x33-16,ESB,02F1124,3698,mean=18
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73x38-11,ESB,02F1199,3699,mean=18
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73x4226,ESB,02F1648,3700,mean=16
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73x4722,ESB,02F1436,3701,mean=16
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73x81-1,ESB,02F1651,3702,mean=15.5
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xA214N,ESB,02F1670,3703,mean=14.8
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xA272,ESB,02F1597,3704,mean=15.6
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xA441-5,ESB,02F1066,3705,mean=16.4
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xA6,ESB,02F1505,3708,mean=18
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xA619,ESB,02F1360,3709,mean=17.6
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xA632,ESB,02F1280,3711,mean=16.4
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xA634,ESB,02F1207,3712,mean=16
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xA635,ESB,02F1573,3713,mean=16.4
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xA659,ESB,02F1133,3716,mean=16
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xA679,ESB,02F1282,3718,mean=17.4
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xA682,ESB,02F1070,3720,mean=15
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xAb28A,ESB,02F1061,3721,mean=13.6
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xB10,ESB,02F1520,3722,mean=17.6
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xB104,ESB,02F1731,3723,mean=16.4
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xB105,ESB,02F1365,3724,mean=16.4
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xB109,ESB,02F1649,3725,mean=15.3333333333333
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xB115,ESB,02F1272,3726,mean=18.4
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xB14A,ESB,02F1140,3727,mean=16
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xB164,ESB,02F1139,3728,mean=16
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xB2,ESB,02F1291,3729,mean=16.8
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xB37,ESB,02F1208,3730,mean=16
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xB46,ESB,02F1594,3731,mean=16.5
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,B73xB52,ESB,02F1525,3732,mean=18.8
