Genotype,KRN,Note,RIL
B73 x Z025E0195,15.33333333,Bx,Z025E0195
B73 x Z025E0197,18,Bx,Z025E0197
B73 x Z025E0218,15.33333333,Bx,Z025E0218
B73 x Z025E0238,19,Bx,Z025E0238
B73 x Z026E0001,16.66666667,Bx,Z026E0001
B73 x Z026E0006,15.99999997,Bx,Z026E0006
B73 x Z026E0010,18.00000001,Bx,Z026E0010
B73 x Z026E0013,16.39999999,Bx,Z026E0013
B73 x Z026E0020,18,Bx,Z026E0020
B73 x Z026E0022,17.33333328,Bx,Z026E0022
B73 x Z026E0034,16.49999997,Bx,Z026E0034
B73 x Z026E0035,15.99999999,Bx,Z026E0035
B73 x Z026E0041,15,Bx,Z026E0041
B73 x Z026E0053,14,Bx,Z026E0053
B73 x Z026E0054,16.66666667,Bx,Z026E0054
B73 x Z026E0061,15.33333333,Bx,Z026E0061
B73 x Z026E0068,17,Bx,Z026E0068
B73 x Z026E0072,16,Bx,Z026E0072
B73 x Z026E0077,15.66666667,Bx,Z026E0077
B73 x Z026E0080,17.60000001,Bx,Z026E0080
B73 x Z026E0085,13.66666667,Bx,Z026E0085
B73 x Z026E0088,18.33333333,Bx,Z026E0088
B73 x Z026E0100,16.66666667,Bx,Z026E0100
B73 x Z026E0116,17.33333333,Bx,Z026E0116
B73 x Z026E0123,14.66666667,Bx,Z026E0123
B73 x Z026E0124,15.66666667,Bx,Z026E0124
B73 x Z026E0125,17.33333333,Bx,Z026E0125
B73 x Z026E0126,15.19999999,Bx,Z026E0126
B73 x Z026E0141,15.33333333,Bx,Z026E0141
B73 x Z026E0149,17.66666667,Bx,Z026E0149
B73 x Z026E0152,18,Bx,Z026E0152
B73 x Z026E0153,16.33333333,Bx,Z026E0153
B73 x Z026E0156,14.99999997,Bx,Z026E0156
B73 x Z026E0162,16.39999999,Bx,Z026E0162
B73 x Z026E0165,14,Bx,Z026E0165
B73 x Z026E0197,15.19999999,Bx,Z026E0197
B73 x Z026E0198,17.66666667,Bx,Z026E0198
B73 x Z026E0199,16.40000001,Bx,Z026E0199
Z001E0003 x B73,16,Bx,Z001E0003
Z001E0004 x B73,18,Bx,Z001E0004
Z001E0006 x B73,15,Bx,Z001E0006
