Barcode,Cob_length (mm),Cob_Diameter (mm),Cob_Weight (g),Bag,I,Note,,
11-1651-23 OP,151.78,27.41,16.96,11,TS,,,
11-1652-22 OP,146.54,19.12,9.89,11,TS,,,
11-1653-21 OP,181.3,21.22,9.62,10,TS,,,
11-1653-22 OP,173.48,19.34,8.72,10,TS,,,
11-1654-21 OP,136.66,23.58,12.46,10,TS,,,
11-1654-22 OP,122.61,25.18,10.62,10,TS,,,
11-1655-21 OP,168.01,22.26,20.16,10,TS,,,
11-1655-23 OP,118.04,23.21,12.5,10,TS,,,
11-1656-21 OP,168.29,26.07,34.02,10,TS,2 pieces,,
11-1657-22 OP,141.69,23.04,14.25,10,TS,,,
11-1658-22 OP,153.13,24.33,26.56,10,TS,2 pieces,,
11-1659-23 OP,76.46,16.81,4.85,11,TS,,,
11-1660-21 OP,64.5,14.33,2.5,11,TS,,,
11-1661-22 OP,139.79,20.13,8.13,11,TS,,,
11-1663-21 OP,126.06,24.47,5.53,11,TS,,,
11-1663-22 OP,85.13,23.3,4.99,11,TS,,,
11-1663-23 OP,8502,20.18,5.22,11,TS,,,
11-1665-21 OP,94.37,22.31,7.05,11,TS,,,
11-1665-22 OP,124.28,23.24,6.26,11,TS,,,
11-1665-23 OP,124.28,31.44,12.53,11,TS,,,
11-1666-22 OP,87.42,24.17,8.07,11,TS,,,
11-1667-22 OP,168.75,26.65,9.72,11,TS,,,
11-1668-22 OP,74.11,19.9,3.27,11,TS,,,
11-1668-23 OP,101.68,22.17,5.44,11,TS,,,
11-1669-23 OP,130.9,20.09,13.14,10,TS,,,
11-1670-21 OP,147.58,24.41,13.25,10,TS,,,
11-1672-21 OP,91.33,25.56,8.4,10,TS,2 pieces,,
11-1672-22 OP,102.58,22.56,11.32,11,TS,,,
11-1673-21 OP,127.04,23.57,9.15,10,TS,,,
11-1674-21 OP,60.74,11.85,0.68,11,TS,,,
11-1677-22 OP,27.64,16.08,5.42,11,TS,,,
11-1678-21 OP,156.5,19.85,12.98,11,TS,,,
11-1679-23 OP,164.17,22.49,16.81,10,TS,,,
11-1680-23 OP,135.06,23.84,13.54,10,TS,,,
11-1681-21 OP,171.57,23.65,10.81,10,TS,,,
11-1684-23 OP,196.69,26.69,21.01,10,TS,2 pieces,,
11-1686-23 OP,65.57,20.26,3.23,11,TS,,,
11-1690-21 OP,83.89,19.74,5.62,11,TS,,,
11-1690-23 OP,96.71,23.92,12.41,10,TS,,,
11-1691-21 OP,165.33,25.35,18.98,10,TS,,,
11-1691-23 OP,104.86,20.9,7.5,11,TS,,,
11-1692-21 OP,87.05,13.57,1.22,10,TS,,,
11-1692-22 OP,120.56,19.6,7.91,11,TS,,,
11-1693-21 OP,117.68,24.79,10.52,11,TS,,,
11-1693-23 OP,74.8,28.63,4.87,11,TS,,,
11-1694-21 OP,172.47,26.04,21.12,10,TS,,,
11-1695-21 OP,126.96,29.36,20.94,11,TS,,,
11-1696-22 OP,167.62,27.21,29.13,10,TS,,,
11-1698-21 OP,139.42,20.88,16,11,TS,,,
11-1698-22 OP,153.83,25.13,26.9,11,TS,,,
11-1699-21 OP,139.63,23.63,14.56,10,TS,,,
11-1700-21 OP,131.74,26.83,22.82,10,TS,,,
11-1700-22 OP,144.79,27.35,22.28,10,TS,,,
11-1700-23 OP,140.89,26.15,24.09,10,TS,,,
11-1701-21 OP,172.53,22.6,17.26,10,TS,,,
11-1701-23 OP,52.4,11.75,0.77,1,TS,,,
11-1702-21 OP,164.1,22.32,15.76,11,TS,,,
11-1702-22 OP,167.11,23.36,18.62,11,TS,,,
11-1702-23 OP,146.45,22.85,18.74,11,TS,,,
11-1703-21 OP,108.54,24.39,13.38,11,TS,,,
11-1703-22 OP,148.04,25.12,14.18,11,TS,,,
11-1703-23 OP,106.57,21.19,9.89,11,TS,,,
11-1704-22 OP,173.39,25.19,23.87,11,TS,,,
11-1704-23 OP,182.82,25.67,24.34,10,TS,,,
